SAMPLE;LUKE;principal component 1;principal component 2;TIME;LEAF MARGIN;ABAXIAL INDUMENTUM;PEONY HEIGHT;LEAF HEIGHT;UPRIGHTNESS;PEDUNCLE LENGTH;FLOWER DIAMETER;FLOWER HEIGHT;FLOWER VOLUME IN CL;R;G;B;RGB_AVG;STAMEN;OVARY;STIGMA;SHAPE;FRAGRANCE;CHL;CHL_SD;FLAV;FLAV_SD;ANTH;ANTH_SD;NBI;NBI_SD
25;LUKE-5050;-2,391752367;-1,040239541;2;RED;NO;790;560;1;10,3;144;52;84,68728484;219;118;176;171;YES;PALE;RED;DOUBLEZONES;NORMAL;35,891;2,71;1,683;0,235;0,127;0,032;21,798;4,162
26;LUKE-5051;0,142760368;1,650453416;1;RED;NO;870;640;2;12;139;63;95,60047086;147;26;73;82;YES;PALE;RED;DOUBLE;PLASTICKY;41,779;5,107;1,679;0,135;0,104;0,027;24,885;2,463
27;LUKE-5052;-1,264538858;-0,891731394;1;RED;NO;790;590;1;8;127;50;63,33843489;233;221;207;220;NO;BROWNISH;RED;CROWN;SWEET;32,53;5,232;1,606;0,142;0,146;0,023;20,323;3,181
30;LUKE-4901;1,592365929;1,168088665;1;RED;NO;860;630;2;10,7;126;39;48,62902684;149;0;99;83;YES;PALE;RED;DOUBLE;PLASTICKY;27,665;3,136;1,542;0,25;0,176;0,021;18,228;2,64
32;LUKE-3425;-0,235052472;-1,114538644;1;BROWN;NO;920;610;1;9,3;158;72;141,1680942;213;179;229;207;NO;GREEN;PALE;CROWN;NORMAL;35,704;2,506;1,574;0,149;0,145;0,045;23,216;2,116
34;LUKE-5237 A;0,266908979;3,354799785;1;RED;NO;860;670;2;12;129;37;48,3583001;149;0;99;83;YES;PALE;PALE;DOUBLE;PLASTICKY;39,219;5,143;1,445;0,193;0,095;0,018;27,993;3,339
36;LUKE-5186;2,811784617;-1,373475483;1;RED;NO;840;620;1;10;149;66;115,0817225;178;79;137;131;NO;BROWNISH;RED;CROWN;WEAK;39,576;7,573;1,748;0,053;0,12;0,031;23,207;4,575
37;LUKE-5239;-0,996435025;0,571409736;2;RED;NO;770;490;0;6,7;149;49;85,43946067;214;103;185;167;NO;NO;NO;DOUBLE;WEAK;37,32;3,877;1,737;0,133;0,1035;0,035;21,515;1,985
202;LUKE-4928;0,399909184;3,183799355;1;RED;NO;920;790;2;13,3;130;39;51,76559295;149;0;99;83;YES;LIGHTGREEN;PALE;DOUBLE;PLASTICKY;41,348;9,78;1,528;0,161;0,097;0,021;26,768;4,066
204;LUKE-4515;-2,184369205;-1,149922592;1;RED;NO;970;620;0;10,7;169;57;127,8610146;246;234;227;236;NO;NO;NO;DOUBLEZONES;STRONG;33,639;2,09;1,607;0,141;0,128;0,026;21,056;2,059
