paikka;naytenumero;principal component 1;principal component 2;aika;naytteen kerayspaiva;analysoitu;Lehden reunan sävy;Alapinnassa karvoja;hKuk;hLeh;tuenta? ;lKP_L1;lKP_L2;lKP_L3;lKP_ka;dKukka;hKukka;ulkoTLvari;ulkoTLR;ulkoTLG;ulkoTLB;ulkoRGB;ulkoTLreuna;sisaTLvari;sisaTLR;sisaTLG;sisaTLB;sisaRGB;sisaTLreuna;Vpalho;Vponsi;sikiAinen;luotti;muoto;tuoksu;Dualex group;Chl;Chl_sd;Flav;Flav_sd;Anth;Anth_sd;NBI;NBI_sd;Chl_ala;Flav_ala;Anth_ala;NBI_ala;Chl_keski;Flav_keski;Anth_keski;NBI_keski;Chl_yla;Flav_yla;Anth_yla;NBI_yla;poikkeavuus
25;LUKE-5050;-2,391752367;-1,040239541;2;30.6.2022;4.7.2022;PUNAINEN;0;790;560;hyotyy;12;9;10;10,3;144;52;2F65B;228;150;196;;VALKOINEN;2F65A;219;118;176;;VALKOINEN / PUNAINEN;KELTAINEN;KELTAINEN;VAALEA;PUNAINEN;KERROTTU / VYÖHYKKEITÄ;hyva;5;35,891;2,71;1,683;0,235;0,127;0,032;21,798;4,162;36,12766667;1,411666667;0,114;26,05;37,06533333;1,794666667;0,108;20,63;34,47966667;1,844;0,16;18,70666667;-
26;LUKE-5051;0,142760368;1,650453416;1;28.6.2022;30.6.2022;PUNAINEN;0;870;640;eitarvitse;11;11;14;12;139;63;2F64A;147;26;73;;PUNAINEN;2F64A;147;26;73;;PUNAINEN;KELTAINEN;KELTAINEN;VAALEA;PUNAINEN;KERROTTU;muovinen;6;41,779;5,107;1,679;0,135;0,104;0,027;24,885;2,463;37,092;1,565666667;0,120666667;23,68666667;43,87166667;1,665333333;0,086;26,37333333;44,37433333;1,805333333;0,106666667;24,59333333;-
27;LUKE-5052;-1,264538858;-0,891731394;1;28.6.2022;30.6.2022;PUNAINEN;0;790;590;hyotyy;8;8;8;8;127;50;2F69B;231;189;238;;VALKOINEN;4F155A;233;221;207;;VALKOINEN;-;-;PUNARUSKEA;PUNAINEN;PALLO LAUTASELLA;makea;7;32,53;5,232;1,606;0,142;0,146;0,023;20,323;3,181;28,09233333;1,457333333;0,134;19,41333333;33,40666667;1,692666667;0,155666667;19,75333333;36,08966667;1,668333333;0,148333333;21,81;-
30;LUKE-4901;1,592365929;1,168088665;1;28.6.2022;30.6.2022;PUNAINEN;0;860;630;eitarvitse;9;11;12;10,7;126;39;2F74A;149;0;99;;PUNAINEN;2F74A;149;0;99;;PUNAINEN;KELTAINEN;KELTAINEN;VAALEA;PUNAINEN;KERROTTU;muovinen;9;27,665;3,136;1,542;0,25;0,176;0,021;18,228;2,64;24,633;1,281333333;0,167666667;19,7;27,54033333;1,583;0,187666667;17,48;30,821;1,763333333;0,173333333;17,50333333;-
32;LUKE-3425;-0,235052472;-1,114538644;1;28.6.2022;30.6.2022;RUSKEA;0;920;610;hyotyy;11;9;8;9,3;158;72;2F73C;235;139;216;;VALKOINEN;2F73D;213;179;229;;VALKOINEN;-;-;VIHREA;VAALEA;PALLO LAUTASELLA;hyva;10;35,704;2,506;1,574;0,149;0,145;0,045;23,216;2,116;35,86533333;1,469;0,135666667;24,51666667;35,396;1,602333333;0,143333333;22,23666667;35,85066667;1,6915;0,157333333;22,73;-
33;LUKE-5237 B;0,266908979;3,354799785;1;28.6.2022;30.6.2022;PUNAINEN;1;700;490;hyotyy;8;8;-;8;120;43;2F65C;238;167;206;;VALKOINEN;4F158C;251;229;203;;VALKOINEN;-;-;PUNAINEN;PUNAINEN;PALLO LAUTASELLA;hyva;11;26,445;3,428;1,519;0,182;0,171;0,029;17,417;1,689;22,81033333;1,357666667;0,188333333;16,8;27,878;1,574666667;0,177333333;17,76;28,64566667;1,6765;0,147666667;17,83;vain kolme kukkivaa vartta
34;LUKE-5237 A;0,266908979;3,354799785;1;28.6.2022;30.6.2022;PUNAINEN;0;860;670;eitarvitse;12;12;12;12;129;37;2F74A;149;0;99;;VALKOINEN;2F74A;149;0;99;;VALKOINEN;KELTAINEN;KELTAINEN;VAALEA;VAALEA;KERROTTU;muovinen;12;39,219;5,143;1,445;0,193;0,095;0,018;27,993;3,339;39,019;1,33;0,092666667;29,49;33,855;1,325;0,109333333;26,56;44,78266667;1,640666667;0,084;27,45666667;puolet lehdistä viroottisia
36;LUKE-5186;2,811784617;-1,373475483;1;28.6.2022;30.6.2022;PUNAINEN;0;840;620;hyotyy;10;11;9;10;149;66;2F72C;172;58;143;;VALKOINEN;2F70C;178;79;137;;VALKOINEN;-;-;PUNARUSKEA;PUNAINEN;PALLO LAUTASELLA;heikko;14;39,576;7,573;1,748;0,053;0,12;0,031;23,207;4,575;34,893;1,6935;0,113666667;21,405;35,39166667;1,771;0,151333333;20,00666667;48,44266667;1,760333333;0,093666667;27,61333333;-
37;LUKE-5239;-0,996435025;0,571409736;2;30.6.2022;4.7.2022;PUNAINEN;0;770;490;vaatii;8;5;7;6,7;149;49;2F68B;219;87;174;;VALKOINEN;2F73B;214;103;185;;VALKOINEN;-;-;-;-;KERROTTU;heikko;15;37,32;3,877;1,737;0,133;-;-;21,515;1,985;34,78433333;1,719;0,138;20,17666667;37,05833333;1,692333333;0,104;22,01333333;40,11633333;1,8;0,114666667;22,35333333;kukinnan lopussa varret levällään mutta keskusta tiivis
202;LUKE-4928;0,399909184;3,183799355;1;28.6.2022;30.6.2022;PUNAINEN;0;920;790;eitarvitse;14;12;14;13,3;130;39;2F74A;149;0;99;;PUNAINEN;2F74A;149;0;99;;PUNAINEN;KELTAINEN;KELTAINEN;VAALEANVIHREA;VAALEANVIHREA;KERROTTU;muovinen;23;41,348;9,78;1,528;0,161;0,097;0,021;26,768;4,066;31,69466667;1,366333333;0,106;23,18333333;47,25733333;1,584666667;0,1175;29,84;45,09233333;1,633666667;0,073666667;27,27666667;-
204;LUKE-4515;-2,184369205;-1,149922592;1;28.6.2022;30.6.2022;PUNAINEN;0;970;620;vaatii;11;10;11;10,7;169;57;4F155B;246;234;227;;VALKOINEN;4F155B;246;234;227;;VALKOINEN;-;-;-;-;KERROTTU / VYÖHYKKEITÄ;voimakas;24;33,639;2,09;1,607;0,141;0,128;0,026;21,056;2,059;33,554;1,434666667;0,121;23,38666667;34,29066667;1,675;0,128666667;20,46666667;33,07233333;1,711666667;0,133666667;19,31;-
